49196,1,0.7015153,1.55,2025-02-24,Tsitsipas S.
49201,0,0.6878363,1.64,2025-02-24,Seyboth Wild T.
49194,1,0.63249975,1.56,2025-02-24,Garin C.
49198,1,0.6126132,1.22,2025-02-24,Khachanov K.
49203,0,0.5748561,1.67,2025-02-24,Diaz Acosta F.
49202,0,0.4299133,1.19,2025-02-24,Djere L. //incorrect
49195,1,0.4243777,1.8,2025-02-24,Mpetshi G.
49199,1,0.4109094,1.43,2025-02-24,Popyrin A.
49200,0,0.36329815,1.63,2025-02-24,Marozsan F.
49197,1,0.3554449,1.17,2025-02-24,Bergs Z.
49206,1,0.8322978,1.42,2025-02-25,Dimitrov G. //incorrect
49216,1,0.7470391,1.22,2025-02-25,Ruud C.
49220,1,0.7306658,1.72,2025-02-25,Goffin D.
49215,0,0.6750204,1.36,2025-02-25,Navone M. //incorrect
49226,1,0.600411,1.35,2025-02-25,Paul T.
49218,1,0.59683424,1.48,2025-02-25,Kecmanovic M. //incorrect
49225,0,0.5914408,1.46,2025-02-25,Jarry N.
49208,1,0.5699739,1.81,2025-02-25,Humbert U.
49213,0,0.5682489,1.47,2025-02-25,Fucsovics M.
49205,0,0.560004,1.53,2025-02-25,Berrettini M. //incorrect
49223,0,0.54607004,1.52,2025-02-25,Moutet C.
49211,0,0.5271586,1.29,2025-02-25,Auger-Aliassime F. //incorrect
49224,1,0.5044985,1.9,2025-02-25,Monteiro T.
49210,0,0.47647142,1.79,2025-02-25,Griekspoor T. //incorrect
48457,1,0.469836,1.4,2024-10-14,Etcheverry T.
49219,1,0.46632585,1.5,2025-02-25,Giron M.
49204,0,0.46238172,1.57,2025-02-25,Darderi L.
49212,0,0.44897965,1.13,2025-02-25,De Minaur A.
49209,1,0.44123468,1.3,2025-02-25,Rublev A. //incorrect
49227,1,0.3918794,1.31,2025-02-25,Shelton B.
49214,0,0.37001348,1.68,2025-02-25,Fils A.
49221,1,0.33669463,1.81,2025-02-25,Norrie C. //incorrect
49217,1,0.2741462,1.72,2025-02-25,Machac T.
49207,1,0.14537245,1.2,2025-02-25,Medvedev D.
49235,0,0.79747736,1.77,2025-02-26,Comesana F. //incorrect
49228,1,0.7465092,1.26,2025-02-26,Vukic A. //incorrect
49233,0,0.66026336,1.38,2025-02-26,Rune H. //incorrect
49236,1,0.644231,1.34,2025-02-26,Tiafoe F.
49231,0,0.60476536,1.48,2025-02-26,Nakashima B. //incorrect
49230,0,0.42506385,1.74,2025-02-26,Shapovalov D. //incorrect
49232,0,0.391194,1.32,2025-02-26,Zverev A. //incorrect
49237,1,0.35889417,1.75,2025-02-26,Barrios M. //incorrect
49229,1,0.2726036,1.45,2025-02-26,Michelsen A.
49234,0,0.24233381,1.61,2025-02-26,Davidovich Fokina A. //incorrect

